Variabelnavn:	1312_9001_10		1312_9001_07		
Enhet:	l/s     		moh     		
Klartekst:	Mengde ut Gronneviksoren		Nivå sump 1 Gronneviksoren		

Tidpunkt	Merking	Verdi	Merking	Verdi	

2010-06-10 11:00	   S	0,0	   S	0,00	
2010-06-10 12:00	   S	0,0	   S	0,00	
2010-06-10 13:00	   S	0,0	   S	0,00	
2010-06-10 14:00	   S	0,0	   S	0,00	
2010-06-10 15:00	   S	0,0	   S	0,00	
2010-06-10 16:00	   S	0,0	   S	0,00	
2010-06-10 17:00	   S	0,0	   S	0,00	
2010-06-10 18:00	   S	0,0	   S	0,00	
2010-06-10 19:00	   S	0,0	   S	0,00	
2010-06-10 20:00	   S	0,0	   S	0,00	
2010-06-10 21:00	   S	0,0	   S	0,00	
2010-06-10 22:00	   S	0,0	   S	0,00	
2010-06-10 23:00	   S	0,0	   S	0,00	
2010-06-11 00:00	   S	0,0	   S	0,00	
2010-06-11 01:00	   S	0,0	   S	0,00	
2010-06-11 02:00	   S	0,0	   S	0,00	
2010-06-11 03:00	   S	0,0	   S	0,00	
2010-06-11 04:00	   S	0,0	   S	0,00	
2010-06-11 05:00	   S	0,0	   S	0,00	
2010-06-11 06:00	   S	0,0	   S	0,00	
2010-06-11 07:00	   S	0,0	   S	0,00	
2010-06-11 08:00	   S	0,0	   S	0,00	
2010-06-11 09:00	   S	0,0	   S	0,00	
2010-06-11 10:00	   S	0,0	   S	0,00	
2010-06-11 11:00	   S	0,0	   S	0,00	
2010-06-11 12:00	   S	0,0	   S	0,00	
2010-06-11 13:00	   S	0,0	   S	0,00	
2010-06-11 14:00	   S	0,0	   S	0,00	
2010-06-11 15:00	   S	0,0	   S	0,00	
2010-06-11 16:00	   S	0,0	   S	0,00	
2010-06-11 17:00	   S	0,0	   S	0,00	
2010-06-11 18:00	   S	0,0	   S	0,00	
2010-06-11 19:00	   S	0,0	   S	0,00	
2010-06-11 20:00	   S	0,0	   S	0,00	
2010-06-11 21:00	   S	0,0	   S	0,00	
2010-06-11 22:00	   S	0,0	   S	0,00	
2010-06-11 23:00	   S	0,0	   S	0,00	
2010-06-12 00:00	   S	0,0	   S	0,00	
2010-06-12 01:00	   S	0,0	   S	0,00	
2010-06-12 02:00	   S	0,0	   S	0,00	
2010-06-12 03:00	   S	0,0	   S	0,00	
2010-06-12 04:00	   S	0,0	   S	0,00	
2010-06-12 05:00	   S	0,0	   S	0,00	
2010-06-12 06:00	   S	0,0	   S	0,00	
2010-06-12 07:00	   S	0,0	   S	0,00	
2010-06-12 08:00	   S	0,0	   S	0,00	
2010-06-12 09:00	   S	0,0	   S	0,00	
2010-06-12 10:00	   S	0,0	   S	0,00	
2010-06-12 11:00	   S	0,0	   S	0,00	
2010-06-12 12:00	   S	0,0	   S	0,00	
2010-06-12 13:00	   S	0,0	   S	0,00	
2010-06-12 14:00	   S	0,0	   S	0,00	
2010-06-12 15:00	   S	0,0	   S	0,00	
2010-06-12 16:00	   S	0,0	   S	0,00	
2010-06-12 17:00	   S	0,0	   S	0,00	
2010-06-12 18:00	   S	0,0	   S	0,00	
2010-06-12 19:00	   S	0,0	   S	0,00	
2010-06-12 20:00	   S	0,0	   S	0,00	
2010-06-12 21:00	   S	0,0	   S	0,00	
2010-06-12 22:00	   S	0,0	   S	0,00	
