Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Nedbør (1 t)
Bergen - Florida;SN50540;01.01.2011 00:00;4,3;-
Bergen - Florida;SN50540;01.01.2011 01:00;4;-
Bergen - Florida;SN50540;01.01.2011 02:00;3;-
Bergen - Florida;SN50540;01.01.2011 03:00;2,9;-
Bergen - Florida;SN50540;01.01.2011 04:00;3,1;-
Bergen - Florida;SN50540;01.01.2011 05:00;2,8;-
Bergen - Florida;SN50540;01.01.2011 06:00;2,8;-
Bergen - Florida;SN50540;01.01.2011 07:00;3;-
Bergen - Florida;SN50540;01.01.2011 08:00;3,1;-
Bergen - Florida;SN50540;01.01.2011 09:00;2,7;-
Bergen - Florida;SN50540;01.01.2011 10:00;3,2;-
Bergen - Florida;SN50540;01.01.2011 11:00;2,5;-
Bergen - Florida;SN50540;01.01.2011 12:00;2,6;-
Bergen - Florida;SN50540;01.01.2011 13:00;3;-
Bergen - Florida;SN50540;01.01.2011 14:00;3,4;-
Bergen - Florida;SN50540;01.01.2011 15:00;3,3;-
Bergen - Florida;SN50540;01.01.2011 16:00;3;-
Bergen - Florida;SN50540;01.01.2011 17:00;2,8;-
Bergen - Florida;SN50540;01.01.2011 18:00;2,6;-
Bergen - Florida;SN50540;01.01.2011 19:00;2;-
Bergen - Florida;SN50540;01.01.2011 20:00;1,5;-
Bergen - Florida;SN50540;01.01.2011 21:00;2,1;-
Bergen - Florida;SN50540;01.01.2011 22:00;1,9;-
Bergen - Florida;SN50540;01.01.2011 23:00;1,4;-
Bergen - Florida;SN50540;02.01.2011 00:00;1,5;-
Bergen - Florida;SN50540;02.01.2011 01:00;1,1;-
Bergen - Florida;SN50540;02.01.2011 02:00;1,2;-
Bergen - Florida;SN50540;02.01.2011 03:00;1,1;-
Bergen - Florida;SN50540;02.01.2011 04:00;1,5;-
Bergen - Florida;SN50540;02.01.2011 05:00;1,6;-
Bergen - Florida;SN50540;02.01.2011 06:00;0,8;-
Bergen - Florida;SN50540;02.01.2011 07:00;0,8;-
Bergen - Florida;SN50540;02.01.2011 08:00;1;-
Bergen - Florida;SN50540;02.01.2011 09:00;0,4;-
Bergen - Florida;SN50540;02.01.2011 10:00;0,1;-
Bergen - Florida;SN50540;02.01.2011 11:00;0,2;-
Bergen - Florida;SN50540;02.01.2011 12:00;0,5;-
Bergen - Florida;SN50540;02.01.2011 13:00;0,7;-
Bergen - Florida;SN50540;02.01.2011 14:00;0,2;-
Bergen - Florida;SN50540;02.01.2011 15:00;-0,3;-
Bergen - Florida;SN50540;02.01.2011 16:00;-0,8;-
Bergen - Florida;SN50540;02.01.2011 17:00;-1,5;-
Bergen - Florida;SN50540;02.01.2011 18:00;-2,6;-
Bergen - Florida;SN50540;02.01.2011 19:00;-2,8;-
Bergen - Florida;SN50540;02.01.2011 20:00;-3,1;-
Bergen - Florida;SN50540;02.01.2011 21:00;-3,4;-
Bergen - Florida;SN50540;02.01.2011 22:00;-3,6;-
Bergen - Florida;SN50540;02.01.2011 23:00;-4;-
Bergen - Florida;SN50540;03.01.2011 00:00;-3,9;-
Bergen - Florida;SN50540;03.01.2011 01:00;-3,5;-
Bergen - Florida;SN50540;03.01.2011 02:00;-3,2;-
Bergen - Florida;SN50540;03.01.2011 03:00;-2,3;-
Bergen - Florida;SN50540;03.01.2011 04:00;-2,1;-
Bergen - Florida;SN50540;03.01.2011 05:00;-2;-
Bergen - Florida;SN50540;03.01.2011 06:00;-0,9;-
Bergen - Florida;SN50540;03.01.2011 07:00;-1;-
Bergen - Florida;SN50540;03.01.2011 08:00;-1;-
Bergen - Florida;SN50540;03.01.2011 09:00;-0,8;-
Bergen - Florida;SN50540;03.01.2011 10:00;-0,5;-
Bergen - Florida;SN50540;03.01.2011 11:00;-0,6;-
Bergen - Florida;SN50540;03.01.2011 12:00;-0,5;-
Bergen - Florida;SN50540;03.01.2011 13:00;0;-
Bergen - Florida;SN50540;03.01.2011 14:00;0,4;-
Bergen - Florida;SN50540;03.01.2011 15:00;0,8;-
Bergen - Florida;SN50540;03.01.2011 16:00;0,9;-
Bergen - Florida;SN50540;03.01.2011 17:00;0,9;-
Bergen - Florida;SN50540;03.01.2011 18:00;1,4;-
Bergen - Florida;SN50540;03.01.2011 19:00;1,9;-
Bergen - Florida;SN50540;03.01.2011 20:00;1,9;-
Bergen - Florida;SN50540;03.01.2011 21:00;1,9;-
Bergen - Florida;SN50540;03.01.2011 22:00;1,8;-
Bergen - Florida;SN50540;03.01.2011 23:00;1,7;-
Bergen - Florida;SN50540;04.01.2011 00:00;1,7;-
