Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur
Bergen - Florida;SN50540;01.01.2017 00:00;0;3,5
Bergen - Florida;SN50540;01.01.2017 01:00;0,4;3,4
Bergen - Florida;SN50540;01.01.2017 02:00;0;2,3
Bergen - Florida;SN50540;01.01.2017 03:00;0,8;2,5
Bergen - Florida;SN50540;01.01.2017 04:00;0;2,1
Bergen - Florida;SN50540;01.01.2017 05:00;0,3;2,3
Bergen - Florida;SN50540;01.01.2017 06:00;0,5;2,3
Bergen - Florida;SN50540;01.01.2017 07:00;0,6;2,5
Bergen - Florida;SN50540;01.01.2017 08:00;0,6;2,2
Bergen - Florida;SN50540;01.01.2017 09:00;0;2,2
Bergen - Florida;SN50540;01.01.2017 10:00;0;2,5
Bergen - Florida;SN50540;01.01.2017 11:00;0;2,4
Bergen - Florida;SN50540;01.01.2017 12:00;0;2,9
Bergen - Florida;SN50540;01.01.2017 13:00;0;3,6
Bergen - Florida;SN50540;01.01.2017 14:00;0;3,2
Bergen - Florida;SN50540;01.01.2017 15:00;0;3,1
Bergen - Florida;SN50540;01.01.2017 16:00;0;2,6
Bergen - Florida;SN50540;01.01.2017 17:00;0;2,7
Bergen - Florida;SN50540;01.01.2017 18:00;0;2,4
Bergen - Florida;SN50540;01.01.2017 19:00;0;1,8
Bergen - Florida;SN50540;01.01.2017 20:00;0;1,3
Bergen - Florida;SN50540;01.01.2017 21:00;0;1,3
Bergen - Florida;SN50540;01.01.2017 22:00;0;1,4
Bergen - Florida;SN50540;01.01.2017 23:00;0;1,3
Bergen - Florida;SN50540;02.01.2017 00:00;0;1
Bergen - Florida;SN50540;02.01.2017 01:00;0;0,7
Bergen - Florida;SN50540;02.01.2017 02:00;0;0,6
Bergen - Florida;SN50540;02.01.2017 03:00;0;-0,2
Bergen - Florida;SN50540;02.01.2017 04:00;0;0
Bergen - Florida;SN50540;02.01.2017 05:00;0,1;0,1
Bergen - Florida;SN50540;02.01.2017 06:00;0,3;0,1
Bergen - Florida;SN50540;02.01.2017 07:00;0,5;0,3
Bergen - Florida;SN50540;02.01.2017 08:00;1,2;0,2
Bergen - Florida;SN50540;02.01.2017 09:00;0,7;0,4
Bergen - Florida;SN50540;02.01.2017 10:00;0,2;0,5
Bergen - Florida;SN50540;02.01.2017 11:00;0;0,4
Bergen - Florida;SN50540;02.01.2017 12:00;0;0,5
Bergen - Florida;SN50540;02.01.2017 13:00;0;1,1
Bergen - Florida;SN50540;02.01.2017 14:00;0;0,6
Bergen - Florida;SN50540;02.01.2017 15:00;-0,1;0,2
Bergen - Florida;SN50540;02.01.2017 16:00;-0,2;-0,1
Bergen - Florida;SN50540;02.01.2017 17:00;0;0
Bergen - Florida;SN50540;02.01.2017 18:00;-0,1;-0,3
Bergen - Florida;SN50540;02.01.2017 19:00;0,2;0
Bergen - Florida;SN50540;02.01.2017 20:00;0,2;0,2
Bergen - Florida;SN50540;02.01.2017 21:00;0,1;0,5
Bergen - Florida;SN50540;02.01.2017 22:00;0,1;0,6
Bergen - Florida;SN50540;02.01.2017 23:00;0,2;0,5
Bergen - Florida;SN50540;03.01.2017 00:00;0,8;0,5
Bergen - Florida;SN50540;03.01.2017 01:00;0,1;0,8
Bergen - Florida;SN50540;03.01.2017 02:00;1;0,6
Bergen - Florida;SN50540;03.01.2017 03:00;0,4;1,2
Bergen - Florida;SN50540;03.01.2017 04:00;0,7;1,3
Bergen - Florida;SN50540;03.01.2017 05:00;1,3;1,3
Bergen - Florida;SN50540;03.01.2017 06:00;1,2;1,5
Bergen - Florida;SN50540;03.01.2017 07:00;1,9;2,1
Bergen - Florida;SN50540;03.01.2017 08:00;1,4;2,6
Bergen - Florida;SN50540;03.01.2017 09:00;1,6;3
Bergen - Florida;SN50540;03.01.2017 10:00;0,2;3,5
Bergen - Florida;SN50540;03.01.2017 11:00;0,4;6,2
Bergen - Florida;SN50540;03.01.2017 12:00;0,3;6
Bergen - Florida;SN50540;03.01.2017 13:00;0,1;5,4
Bergen - Florida;SN50540;03.01.2017 14:00;0;5,3
Bergen - Florida;SN50540;03.01.2017 15:00;0,1;3,3
Bergen - Florida;SN50540;03.01.2017 16:00;0;3,2
Bergen - Florida;SN50540;03.01.2017 17:00;1,6;2,4
Bergen - Florida;SN50540;03.01.2017 18:00;0,2;2,9
Bergen - Florida;SN50540;03.01.2017 19:00;0,1;3,2
Bergen - Florida;SN50540;03.01.2017 20:00;0,1;4,6
Bergen - Florida;SN50540;03.01.2017 21:00;0,5;3,5
Bergen - Florida;SN50540;03.01.2017 22:00;0,8;3,7
Bergen - Florida;SN50540;03.01.2017 23:00;1,9;3,8
Bergen - Florida;SN50540;04.01.2017 00:00;0;3,4
